,event_name,source,relevant information about time,relevant information about affected areas,relevant information about number of people affected,relevant information about number of people dead,relevant information about number of people who became homeless or displaced,relevant information about number of people who were injured,relevant information about economic loss,relevant information about building damage
43,Tropical Storm Usagi (2018),https://en.wikipedia.org/wiki/Tropical_Storm_Usagi_(2018),"Tropical Storm Usagi (2018) occurred from November 13, 2018 to November 27, 2018.","The areas affected by Tropical Storm Usagi (2018) include the Marshall Islands, Caroline Islands, Philippines, and Vietnam.","In the Philippines, 124,226 people were affected, 21,224 people were displaced, and 4,967 people were evacuated. In Vietnam, 160,000 people were evacuated.",Tropical Storm Usagi (2018) caused a total of 4 deaths.,"A total of 21,224 people were displaced in the Philippines, and 160,000 people were evacuated in Vietnam.",NULL,The economic loss or damage in USD due to Tropical Storm Usagi (2018) was $40.8 million.,"In Vietnam, 51 houses were damaged."
44,McNally Fire,https://en.wikipedia.org/wiki/McNally_Fire,"The McNally Fire occurred from July 21, 2002 to August 29, 2002.","The fire burned through the Sequoia and Inyo National Forest, as well as 5% of Giant Sequoia National Monument.",NULL,Unknown,NULL,Unknown,"The fire cost an estimated $45.7 million to put out, with an additional $3 million in emergency funds used to minimize future damage from erosion and flooding.",The fire destroyed 14 structures.
45,Binta Lake Fire,https://en.wikipedia.org/wiki/Binta_Lake_Fire,"The Binta Lake Fire started on Wednesday, July 28, 2010, and lasted for more than a month. It was 20% contained by August 22.",The fire was affecting Francois Lake and Fraser Lake.,32 homes were evacuated and 335 homes were on evacuation alert.,NULL,NULL,NULL,The fire caused damaged merchantable timber.,NULL
46,2014 Pacific hurricane season,https://en.wikipedia.org/wiki/Hurricane_Polo_(2014),"The 2014 Pacific hurricane season officially started on May 15 in the East Pacific Ocean, and on June 1 in the Central Pacific; they both ended on November 30.","The 2014 Pacific hurricane season affected various areas including the Big Island of Hawaii, Baja California peninsula, Central America, Mexican states of Chiapas, Oaxaca, Guerrero, and Durango.","The effects of the 2014 Pacific hurricane season resulted in numerous impacts, including 50 total fatalities, 6 deaths across Central America, and 9 deaths in Mexico.",A total of 50 fatalities were confirmed caused by the 2014 Pacific hurricane season.,"A total of 5,000 homes were affected by the storm, 218 of which were damaged and an additional six completely destroyed.",There were no specific numbers provided for the total number of people injured due to the 2014 Pacific hurricane season.,"The total damage from the 2014 Pacific hurricane season was estimated to be at least $1.52 billion (2014 USD), making it the fifth-costliest Pacific hurricane season on record.","A total of 5,000 homes were affected by the storm, 218 of which were damaged and an additional six completely destroyed."
47,Hurricane Carrie,https://en.wikipedia.org/wiki/Hurricane_Carrie,"Hurricane Carrie occurred from September 2, 1957 to September 28, 1957.","Hurricane Carrie affected Bermuda, Azores, British Isles, and France.",The text does not explicitly mention the total number of people affected by Hurricane Carrie.,A total of 83 fatalities were confirmed to be caused by Hurricane Carrie.,The text does not provide specific information on the number of people who became homeless or displaced due to Hurricane Carrie.,The text does not specify the number of people who were injured due to Hurricane Carrie.,The text does not provide specific information on the economic loss or damage caused by Hurricane Carrie.,The text does not specify the number of buildings damaged or destroyed by Hurricane Carrie.
48,Tropical Storm Fran (1984),https://en.wikipedia.org/wiki/Tropical_Storm_Fran_(1984),"Tropical Storm Fran occurred from September 15, 1984, to September 20, 1984.",The areas affected by Tropical Storm Fran were the Cape Verde Islands.,"At least 2,100 people were left homeless due to the storm.",Between 29 and 32 fatalities were confirmed to be caused by Tropical Storm Fran.,"At least 2,100 people were left homeless due to the storm.",NULL,The economic loss or damage due to Tropical Storm Fran was about $2.84 million (1984 USD).,"At least 1,094 houses were severely damaged due to flooding caused by the storm."
49,Cerro Grande Fire,https://en.wikipedia.org/wiki/Cerro_Grande_Fire,"Date(s): May 4 - July 20, 2000","Over 400 families in the town of Los Alamos, New Mexico, lost their homes in the resulting 43,000-acre (170 km2) fire. Structures at Los Alamos National Laboratory were also destroyed or damaged.","Over 400 families in the town of Los Alamos, New Mexico, lost their homes",No loss of human life occurred.,"A compound of portable buildings ('trailers'), known locally as FEMAville, was constructed on undeveloped land near the county rodeo grounds on North Mesa, providing housing for hundreds of displaced residents.",NULL,The US General Accounting Office estimated total damages at $1 billion.,Structures at Los Alamos National Laboratory were also destroyed or damaged.
50,Hurricane Julia (2010),https://en.wikipedia.org/wiki/Hurricane_Julia_(2010),"Hurricane Julia occurred from September 12, 2010 to September 20, 2010.",The Cape Verde Islands were affected by Hurricane Julia (2010).,NULL,None reported,NULL,NULL,"Minimal damage was reported, with trace amounts of rain causing locally light flooding and minor inconveniences.",Some wind damage to crops was reported in the Cape Verde Islands.
51,Typhoon Agnes (1984),https://en.wikipedia.org/wiki/Typhoon_Agnes_(1984),"Typhoon Agnes occurred from October 30, 1984, to November 9, 1984.",The areas affected by Typhoon Agnes include the Philippines and Vietnam.,"Over 600,000 people were directly affected by Typhoon Agnes.","A total of 1,029 deaths were confirmed caused by Typhoon Agnes.","Approximately 600,000 people lost their homes due to Typhoon Agnes.","A total of 2,526 people were reported as injured due to Typhoon Agnes.",The total economic damage was $90.7 million (1984 USD).,"A total of 201,014 homes were destroyed, and 163,056 homes were damaged by Typhoon Agnes."
52,Cyclone Asani,https://en.wikipedia.org/wiki/Cyclone_Asani,"Cyclone Asani occurred from May 7, 2022 to May 12, 2022.","The areas affected by Cyclone Asani include India (Andhra Pradesh, Tamil Nadu, Karnataka, Odisha, Andaman and Nicobar Islands).","About 30,225 estimate crops were affected.",Three fatalities were confirmed from the cyclone as of May 19.,NULL,NULL,"Damage in Nandyal, Anantapur and Sri Sathya Sai districts was estimated at Rs121.2 million (US$1.57 million).",NULL
53,Long Hollow Fire,https://en.wikipedia.org/wiki/Long_Hollow_Fire,"The Long Hollow Fire occurred from July 26, 2018 to August 14, 2018.","The fire burned 78,425 acres (317 km2) and impacted recreational activities along the Deschutes River.",NULL,NULL,NULL,NULL,NULL,NULL
54,2021 Islamabad flooding,https://en.wikipedia.org/wiki/2021_Islamabad_flooding,"On 28 July 2021, heavy rains started after the cloudburst in Islamabad, Pakistan, caused flood situation in many parts of the federal capital and killed two people.","Several vehicles were swept away in the floods and water entered the basement of houses and plazas in Sector E-11, F-10 and D-12.",NULL,The flooding killed two people.,NULL,NULL,NULL,NULL
55,Hurricane Fred (2015),https://en.wikipedia.org/wiki/Hurricane_Fred_(2015),"Hurricane Fred (2015) occurred from August 30, 2015 to September 6, 2015.",Hurricane Fred (2015) affected West Africa and Cape Verde.,More than 50 families were displaced due to Hurricane Fred (2015).,Nine deaths were confirmed caused by Hurricane Fred (2015) in total.,More than 50 families were displaced due to Hurricane Fred (2015).,Two inhabitants were taken to hospital for non-critical injuries after their home had partially collapsed.,The total economic damage due to Hurricane Fred (2015) was $2.5 million (2015 USD).,"About 200 houses were demolished in the district of Hann, many of which experienced total wall collapse."
56,Substation Fire,https://en.wikipedia.org/wiki/Substation_Fire,"The Substation Fire occurred from July 17, 2018, to August 2, 2018.","Agricultural and recreational areas suffered heavy damage, and the communities of Moro, Grass Valley, and Kent were evacuated.",NULL,NULL,"Evacuation orders were lifted the next day, but a temporary flight restriction was put in place in the area.",NULL,NULL,NULL
57,2014 Bulgarian floods,https://en.wikipedia.org/wiki/2014_Bulgarian_floods,"The 2014 Bulgarian floods occurred from June 17 to June 20, 2014.","The areas affected by the 2014 Bulgarian floods included Varna Province, Dobrich Province, Veliko Tarnovo Province, Shumen Province in Bulgaria, and Constanta County in Romania.",The text does not explicitly mention the total number of people affected by the 2014 Bulgarian floods.,"At least 16 people were reported killed – 13 in the Asparuhovo district of Varna, one in Dobrich, and two in the village of Tsani Ganchevo in Shumen Province.",The text does not provide specific information about the number of people who became homeless or displaced due to the 2014 Bulgarian floods.,The text does not specify the number of people who were injured due to the 2014 Bulgarian floods.,"The property damage caused by the 2014 Bulgarian floods was estimated to be over 311,000,000 Euros.",The text mentions damage to local infrastructure in Varna Province estimated to be at least 30 million leva (15.25 million Euros).
58,"Scores killed by flooding in Yemen - Wikinews, the free news source",https://en.wikinews.org/wiki/Scores_killed_by_flooding_in_Yemen,"Sunday, October 26, 2008",governorates of Hadhramaut and Mahra,"at least 20,000 in the country have no access to shelter",at least 58 people are now dead,"at least 20,000 in the country have no access to shelter",NULL,NULL,"massive destruction that hit the infrastructure, such as roads, power and water distribution networks"
59,Hurricane Elsa,https://en.wikipedia.org/wiki/Hurricane_Elsa,"Hurricane Elsa occurred from June 30, 2021 to July 10, 2021.","Hurricane Elsa affected the Lesser Antilles, Greater Antilles, Venezuela, Colombia, East Coast of the United States, and Atlantic Canada.",The text does not explicitly state the total number of people affected by Hurricane Elsa.,There were 13 deaths confirmed caused by Hurricane Elsa in total.,The text does not explicitly state the total number of people who became homeless or displaced due to Hurricane Elsa.,"There were 17 people that were injured, including a pregnant woman, related to Hurricane Elsa in total.",The economic loss or damage due to Hurricane Elsa was $1.2 billion (2021 USD) in total.,"More than 1,300 homes were damaged, including 62 homes which were completely destroyed on the island of Barbados."
